,lncRNA_name,lncRNA_score,lncRNA_label
51,DACT3-AS1,0.9999104738235474,0.0
52,LINC00630,0.9999091625213623,1.0
53,MIR137HG,0.9999089241027832,1.0
54,SNHG3,0.9999088048934937,1.0
55,KCNQ1OT1,0.9999082088470459,1.0
56,LINC00324,0.9999082088470459,1.0
57,RMRP,0.9999080896377563,1.0
58,FZD10-AS1,0.9999076128005981,0.0
59,HCP5,0.9999074935913086,1.0
60,HCG18,0.9999068975448608,1.0
61,BHLHE40-AS1,0.9999067783355713,0.0
62,A1BG-AS1,0.999906063079834,1.0
63,PINK1-AS,0.9999059438705444,0.0
64,HOXC-AS2,0.9999057054519653,0.0
65,DANCR,0.999904990196228,1.0
66,Z82244.1,0.999904990196228,0.0
67,DLEU1,0.9999045133590698,1.0
68,LINC00273,0.9999043941497803,0.0
69,PGM5-AS1,0.9999035596847534,0.0
70,LINC00641,0.9999028444290161,0.0
71,IQCH-AS1,0.9999027252197266,0.0
72,WAC-AS1,0.9999023675918579,1.0
73,TPT1-AS1,0.9998998641967773,0.0
74,ZRANB2-AS1,0.9998998641967773,0.0
75,NR2F2-AS1,0.9998995065689087,0.0
76,LINC00958,0.9998989105224609,1.0
77,AC011899.2,0.9998986721038818,0.0
78,LINC00242,0.999897837638855,0.0
79,LINC00662,0.9998977184295654,1.0
80,NUTM2A-AS1,0.9998977184295654,0.0
81,AC007682.1,0.9998966455459595,0.0
82,SOX21-AS1,0.9998965263366699,1.0
83,CASC2,0.9998959302902222,1.0
84,HOXA-AS2,0.9998958110809326,1.0
85,FBXL19-AS1,0.9998956918716431,1.0
86,PSMD6-AS2,0.9998955726623535,0.0
87,AL031275.1,0.9998955726623535,0.0
88,LINCMD1,0.9998955726623535,0.0
89,PVT1,0.999895453453064,1.0
90,FOXD2-AS1,0.9998953342437744,1.0
91,TSIX,0.9998953342437744,1.0
92,JPX,0.9998950958251953,1.0
93,AC092171.4,0.9998922348022461,1.0
94,TEX41,0.9998922348022461,0.0
95,DLEU2,0.999891996383667,1.0
96,LRP1-AS,0.999891996383667,0.0
97,KCTD21-AS1,0.9998914003372192,0.0
98,GNAS-AS1,0.9998914003372192,0.0
99,LINC01979,0.999890923500061,0.0
100,LINC00870,0.9998902082443237,0.0
101,TBX5-AS1,0.9998898506164551,0.0
102,SNHG6,0.9998892545700073,1.0
103,SNHG1,0.9998892545700073,1.0
104,MANCR,0.9998891353607178,1.0
105,SERTAD4-AS1,0.9998887777328491,1.0
106,H19,0.9998884201049805,1.0
107,LINC01093,0.9998881816864014,1.0
108,LIMD1-AS1,0.9998874664306641,0.0
109,LINC01159,0.9998873472213745,0.0
110,NDUFB2-AS1,0.9998869895935059,0.0
111,MCM3AP-AS1,0.9998868703842163,1.0
112,AP001189.3,0.9998865127563477,0.0
113,TBX2-AS1,0.9998859167098999,0.0
114,FAM99A,0.9998857975006104,1.0
115,CRAT37,0.9998856782913208,0.0
116,LINC01146,0.9998855590820312,0.0
117,RBM26-AS1,0.9998854398727417,0.0
118,LINC00649,0.9998853206634521,0.0
119,BAIAP2-DT,0.9998847246170044,1.0
120,LHFPL3-AS2,0.9998842477798462,0.0
121,MIR22HG,0.9998835325241089,1.0
122,CCDC144NL-AS1,0.9998832941055298,1.0
123,HOXA-AS3,0.9998828172683716,1.0
124,DCXR-DT,0.9998821020126343,0.0
125,SNHG10,0.9998818635940552,1.0
126,NKX2-1-AS1,0.9998810291290283,0.0
127,AC104809.1,0.9998807907104492,0.0
128,LINC00379,0.9998805522918701,0.0
129,LINC00165,0.9998801946640015,0.0
130,LINC02487,0.9998794794082642,0.0
131,LINC00656,0.9998785257339478,0.0
132,SNHG16,0.9998785257339478,1.0
133,PCAT4,0.9998781681060791,0.0
134,MGC27382,0.9998775720596313,0.0
135,AC122134.1,0.9998775720596313,0.0
136,LINC00671,0.9998774528503418,1.0
137,CSNK1G2-AS1,0.9998773336410522,0.0
138,LINC00304,0.9998769760131836,0.0
139,GLIS3-AS1,0.9998766183853149,0.0
140,GAS6-DT,0.9998762607574463,1.0
141,HAND2-AS1,0.9998760223388672,1.0
142,PLS3-AS1,0.9998760223388672,0.0
143,MIAT,0.9998759031295776,1.0
144,GAPLINC,0.9998757839202881,1.0
145,MRGPRG-AS1,0.9998757839202881,0.0
146,LINC00529,0.9998756647109985,0.0
147,XIST,0.9998756647109985,1.0
148,AP005432.2,0.9998754262924194,0.0
149,Z98885.2,0.9998753070831299,0.0
150,LINC00665,0.9998751878738403,1.0
151,C8orf34-AS1,0.9998749494552612,0.0
152,MCHR2-AS1,0.9998749494552612,0.0
153,GIHCG,0.9998749494552612,1.0
154,MAGI2-AS1,0.9998748302459717,0.0
155,LINC00615,0.9998747110366821,0.0
156,LINC01571,0.9998745918273926,0.0
157,KCNQ1-AS1,0.9998743534088135,0.0
158,MIR600HG,0.9998738765716553,0.0
159,TARID,0.9998738765716553,0.0
160,LINC00968,0.9998738765716553,0.0
161,PTCSC3,0.9998737573623657,0.0
162,MIR503HG,0.9998736381530762,1.0
163,LINC02535,0.9998736381530762,1.0
164,FENDRR,0.9998735189437866,1.0
165,NTM-AS1,0.9998735189437866,0.0
166,B3GALT5-AS1,0.9998733997344971,0.0
167,AC100800.1,0.9998732805252075,0.0
168,DPP10-AS1,0.9998732805252075,0.0
169,ANKRD34C-AS1,0.9998730421066284,0.0
170,LINC02154,0.9998730421066284,0.0
171,MMP2-AS1,0.9998729228973389,1.0
172,TCL6,0.9998728036880493,1.0
173,LINC00954,0.9998726844787598,0.0
174,EPHA1-AS1,0.9998725652694702,0.0
175,THOC7-AS1,0.9998718500137329,0.0
176,AP001042.1,0.9998713731765747,0.0
177,ADIRF-AS1,0.9998713731765747,0.0
178,MGAT3-AS1,0.9998712539672852,0.0
179,AL445307.1,0.9998708963394165,0.0
180,LINC00518,0.9998706579208374,0.0
181,ERICD,0.9998705387115479,0.0
182,LINC00865,0.9998701810836792,0.0
183,FLJ31356,0.9998699426651001,0.0
184,ERICH3-AS1,0.9998691082000732,0.0
185,RUSC1-AS1,0.9998687505722046,1.0
186,SSTR5-AS1,0.999868631362915,0.0
187,LINC02310,0.9998683929443359,0.0
188,LINC01293,0.9998683929443359,0.0
189,LINC02432,0.9998683929443359,0.0
190,LINC01081,0.9998681545257568,0.0
191,SNHG11,0.9998681545257568,1.0
192,TRHDE-AS1,0.9998681545257568,0.0
193,FAM27E5,0.9998680353164673,0.0
194,MATN1-AS1,0.9998680353164673,0.0
195,AC007114.1,0.9998677968978882,0.0
196,ADAMTS9-AS1,0.9998677968978882,1.0
197,AC125807.2,0.9998676776885986,1.0
198,LINC02389,0.9998674392700195,0.0
199,SNCA-AS1,0.9998672008514404,0.0
200,AC135782.1,0.9998672008514404,0.0
201,COL18A1-AS1,0.9998669624328613,0.0
202,LINC02573,0.9998667240142822,0.0
203,RBAKDN,0.9998667240142822,0.0
204,DAPK1-IT1,0.9998667240142822,0.0
205,LINC00907,0.9998666048049927,0.0
206,DSCR10,0.9998666048049927,0.0
207,NIFK-AS1,0.9998666048049927,0.0
208,AP000708.1,0.9998666048049927,0.0
209,AC016027.1,0.9998664855957031,0.0
210,LINC01567,0.9998664855957031,0.0
211,LINC00574,0.9998661279678345,0.0
212,LINC00492,0.9998660087585449,0.0
213,RORB-AS1,0.9998660087585449,0.0
214,AC095350.1,0.9998660087585449,0.0
215,LINC01254,0.9998658895492554,0.0
216,LINC00158,0.9998658895492554,0.0
217,JADRR,0.9998657703399658,0.0
218,AC100803.3,0.9998657703399658,0.0
219,CARMN,0.9998654127120972,1.0
220,LINC02402,0.9998654127120972,0.0
221,HOTAIR,0.9998652935028076,1.0
222,AC026362.1,0.9998651742935181,0.0
223,LINC01446,0.9998650550842285,0.0
224,IQCA1-AS1,0.9998650550842285,0.0
225,FOXN3-AS2,0.999864935874939,0.0
226,KCNQ1DN,0.9998646974563599,0.0
227,AC026124.1,0.9998646974563599,0.0
228,LINC01012,0.9998643398284912,0.0
229,AC027307.2,0.9998643398284912,0.0
230,BOK-AS1,0.9998642206192017,0.0
231,LINC00588,0.9998642206192017,0.0
232,AC104083.1,0.9998641014099121,0.0
233,KANSL1-AS1,0.9998641014099121,0.0
234,LINC01139,0.9998639822006226,1.0
235,Z97989.1,0.999863862991333,0.0
236,CARD8-AS1,0.9998633861541748,0.0
237,MAFTRR,0.9998633861541748,0.0
238,MIR133A1HG,0.9998632669448853,0.0
239,FALEC,0.9998632669448853,1.0
240,C5orf64,0.9998632669448853,0.0
241,C4B-AS1,0.9998631477355957,0.0
242,GAS8-AS1,0.9998630285263062,1.0
243,PRICKLE2-AS3,0.9998630285263062,0.0
244,LINC01919,0.9998629093170166,0.0
245,AP001527.2,0.9998629093170166,0.0
246,RORA-AS1,0.9998629093170166,0.0
247,HOXB-AS3,0.999862790107727,1.0
248,LINC00839,0.9998626708984375,0.0
249,ST7-OT4,0.9998626708984375,0.0
250,LINC00683,0.9998626708984375,0.0
251,AC020656.2,0.9998624324798584,0.0
252,LINC00222,0.9998621940612793,0.0
253,SLC26A4-AS1,0.9998620748519897,0.0
254,HLA-DQB1-AS1,0.9998620748519897,0.0
255,AL596244.1,0.9998620748519897,0.0
256,ATP13A4-AS1,0.9998620748519897,0.0
257,LINC00997,0.9998618364334106,0.0
258,LINC00461,0.9998617172241211,1.0
259,LINC01179,0.9998615980148315,0.0
260,ASAP1-IT2,0.9998615980148315,0.0
261,LINC01606,0.999861478805542,0.0
262,LINC00937,0.999861478805542,0.0
263,LINC00645,0.999861478805542,0.0
264,AP006222.2,0.999861478805542,0.0
265,MAN1B1-DT,0.9998613595962524,0.0
266,HCG11,0.9998613595962524,1.0
267,AC017071.1,0.9998613595962524,0.0
268,PRKCQ-AS1,0.9998613595962524,0.0
269,SRD5A3-AS1,0.9998612403869629,0.0
270,RFPL3S,0.9998612403869629,0.0
271,AC093159.1,0.9998608827590942,0.0
272,SNAP25-AS1,0.9998608827590942,0.0
273,LINC02128,0.9998607635498047,0.0
274,STRA6LP,0.9998606443405151,0.0
275,UNQ6494,0.9998606443405151,0.0
276,LINC01600,0.9998605251312256,0.0
277,FUT8-AS1,0.9998605251312256,0.0
278,PHACTR2-AS1,0.9998605251312256,1.0
279,LINC01249,0.999860405921936,0.0
280,LINC01554,0.9998602867126465,1.0
281,SRGAP3-AS4,0.9998602867126465,0.0
282,LINC02532,0.9998601675033569,1.0
283,TTTY3,0.9998601675033569,0.0
284,SOCS2-AS1,0.9998600482940674,0.0
285,ADGRA1-AS1,0.9998599290847778,0.0
286,OPCML-IT1,0.9998599290847778,0.0
287,LINC00243,0.9998596906661987,0.0
288,LINC01004,0.9998596906661987,0.0
289,LINC01553,0.9998595714569092,0.0
290,AFDN-DT,0.9998595714569092,0.0
291,LINC00474,0.9998595714569092,0.0
292,SPATA3-AS1,0.9998593330383301,0.0
293,DSCR9,0.9998593330383301,0.0
294,PDCD4-AS1,0.9998592138290405,0.0
295,ALMS1-IT1,0.9998588562011719,0.0
296,AP002478.1,0.9998588562011719,1.0
297,AL121584.1,0.9998588562011719,0.0
298,LINC01555,0.9998584985733032,0.0
299,LINC01243,0.9998583793640137,0.0
300,AP003555.2,0.9998583793640137,0.0
301,PICART1,0.9998583793640137,0.0
302,CAPN10-DT,0.9998582601547241,0.0
303,DLGAP1-AS5,0.9998582601547241,0.0
304,AC072062.1,0.9998581409454346,0.0
305,FLJ40288,0.9998581409454346,0.0
306,LINC00308,0.9998581409454346,0.0
307,LINC00664,0.999858021736145,0.0
308,AC007126.1,0.999858021736145,0.0
309,LINC00595,0.9998579025268555,0.0
310,LINC02688,0.9998579025268555,0.0
311,LINC00924,0.9998575448989868,0.0
312,FOXC2-AS1,0.9998574256896973,0.0
313,MRGPRF-AS1,0.9998573064804077,0.0
314,LINC01169,0.9998573064804077,0.0
315,LINC01376,0.9998571872711182,0.0
316,TTTY8,0.9998571872711182,0.0
317,LINC00996,0.9998570680618286,0.0
318,LINC02691,0.9998569488525391,1.0
319,LINC00589,0.9998568296432495,1.0
320,LINC02381,0.99985671043396,0.0
321,AC004053.1,0.99985671043396,0.0
322,LINC00303,0.9998565912246704,0.0
323,LINC00205,0.9998565912246704,1.0
324,AC019117.1,0.9998564720153809,0.0
325,AC093627.7,0.9998563528060913,0.0
326,HSD11B1-AS1,0.9998563528060913,0.0
327,LINC01218,0.9998563528060913,0.0
328,GACAT3,0.9998562335968018,1.0
329,CEP83-DT,0.9998562335968018,0.0
330,AC005562.1,0.9998561143875122,0.0
331,AC010731.2,0.9998561143875122,0.0
332,LINC00189,0.9998559951782227,0.0
333,LINC01114,0.9998558759689331,0.0
334,LINC01096,0.9998558759689331,0.0
335,ZNF528-AS1,0.9998558759689331,0.0
336,GASAL1,0.9998558759689331,1.0
337,LINC01486,0.9998558759689331,0.0
338,AC027807.2,0.9998557567596436,0.0
339,LINC01626,0.999855637550354,0.0
340,PRICKLE2-AS1,0.999855637550354,0.0
341,FAM41C,0.999855637550354,0.0
342,MIR583HG,0.9998555183410645,0.0
343,AC127496.3,0.9998555183410645,0.0
344,AL132709.8,0.9998555183410645,0.0
345,AL035446.1,0.9998555183410645,0.0
346,IRAIN,0.9998555183410645,0.0
347,LINC01616,0.9998555183410645,0.0
348,CATIP-AS2,0.9998552799224854,0.0
349,AC023824.1,0.9998552799224854,0.0
350,AC007405.1,0.9998551607131958,0.0
351,HOXA11-AS,0.9998551607131958,1.0
352,FAM181A-AS1,0.9998551607131958,0.0
353,AC015911.3,0.9998551607131958,0.0
354,LINC00842,0.9998550415039062,0.0
355,LINC01825,0.9998549222946167,0.0
356,AC005332.3,0.9998548030853271,0.0
357,FLJ36000,0.9998548030853271,0.0
358,LINC01003,0.9998548030853271,0.0
359,PLA2G4E-AS1,0.9998546838760376,0.0
360,AP005530.1,0.9998546838760376,0.0
361,AC007563.3,0.999854564666748,0.0
362,RASSF1-AS1,0.9998544454574585,0.0
363,AL353796.1,0.9998544454574585,0.0
364,GK-AS1,0.999854326248169,0.0
365,LINC01828,0.999854326248169,0.0
366,EIF3J-DT,0.999854326248169,1.0
367,SENCR,0.999854326248169,0.0
368,LINC00944,0.999854326248169,0.0
369,DPP10-AS3,0.9998542070388794,0.0
370,LINC00313,0.9998542070388794,1.0
371,GS1-24F4.2,0.9998542070388794,0.0
372,LINC00927,0.9998538494110107,0.0
373,LINC00926,0.9998537302017212,1.0
374,AC067956.1,0.9998537302017212,0.0
375,LINC00460,0.9998537302017212,1.0
376,LINC02133,0.9998536109924316,0.0
377,MIR4453HG,0.9998536109924316,0.0
378,AGAP2-AS1,0.9998536109924316,1.0
379,LINC01405,0.9998534917831421,0.0
380,AC021683.3,0.999853253364563,0.0
381,RPS6KA2-AS1,0.9998531341552734,0.0
382,FAM30A,0.9998531341552734,0.0
383,AC011524.1,0.9998531341552734,0.0
384,LINC01320,0.9998530149459839,0.0
385,ERICH6-AS1,0.9998530149459839,0.0
386,MCF2L-AS1,0.9998530149459839,0.0
387,LINC00687,0.9998528957366943,0.0
388,TGFA-IT1,0.9998528957366943,0.0
389,LINC01711,0.9998527765274048,0.0
390,AL450326.1,0.9998527765274048,0.0
391,LINC01508,0.9998527765274048,0.0
392,TRIM52-AS1,0.9998526573181152,1.0
393,AC005224.2,0.9998526573181152,0.0
394,LINC00567,0.9998526573181152,0.0
395,LINC00622,0.9998525381088257,0.0
396,SMG7-AS1,0.9998524188995361,0.0
397,AC113167.1,0.9998522996902466,0.0
398,DNAJC3-DT,0.999852180480957,0.0
399,AC016027.2,0.9998520612716675,0.0
400,FAM13A-AS1,0.9998520612716675,0.0
401,TPM1-AS,0.9998519420623779,0.0
402,LINC02245,0.9998518228530884,0.0
403,FOXCUT,0.9998518228530884,0.0
404,AP000229.1,0.9998517036437988,0.0
405,LINC01558,0.9998515844345093,0.0
406,LINC01258,0.9998515844345093,0.0
407,ARRDC1-AS1,0.9998514652252197,0.0
408,DNMBP-AS1,0.9998514652252197,0.0
409,AC105411.1,0.9998512268066406,0.0
410,ZNF295-AS1,0.9998512268066406,0.0
411,SNHG18,0.9998512268066406,1.0
412,TUB-AS1,0.9998512268066406,0.0
413,HIPK1-AS1,0.9998512268066406,0.0
414,LIF-AS1,0.9998511075973511,0.0
415,CDC42-IT1,0.9998511075973511,0.0
416,LINC00608,0.9998511075973511,0.0
417,LINC01121,0.9998511075973511,0.0
418,SMAD5-AS1,0.9998509883880615,0.0
419,LINC01104,0.9998509883880615,0.0
420,LINC01343,0.9998509883880615,0.0
421,RERG-IT1,0.9998509883880615,0.0
422,LINC01671,0.999850869178772,0.0
423,WDFY3-AS2,0.999850869178772,1.0
424,LINC01623,0.9998507499694824,0.0
425,TFAP2A-AS2,0.9998506307601929,0.0
426,ANKRD44-IT1,0.9998506307601929,0.0
427,LINC01936,0.9998505115509033,0.0
428,SAMD12-AS1,0.9998505115509033,1.0
429,AC058791.1,0.9998503923416138,0.0
430,AC009063.2,0.9998503923416138,0.0
431,ITPK1-AS1,0.9998503923416138,0.0
432,LINC02412,0.9998499155044556,0.0
433,LINC00402,0.9998499155044556,0.0
434,LINC00971,0.9998496770858765,0.0
435,LINC00261,0.9998496770858765,1.0
436,LINC00466,0.9998495578765869,0.0
437,LINC00507,0.9998494386672974,0.0
438,AP000253.1,0.9998494386672974,0.0
439,MIR100HG,0.9998493194580078,1.0
440,AC091132.1,0.9998493194580078,0.0
441,PWRN1,0.9998493194580078,0.0
442,SCAMP1-AS1,0.9998492002487183,0.0
443,HAR1A,0.9998492002487183,1.0
444,FLJ12825,0.9998492002487183,0.0
445,MAST4-IT1,0.9998492002487183,0.0
446,LINC01322,0.9998490810394287,0.0
447,WWOX-AS1,0.9998490810394287,1.0
448,LINC01852,0.9998489618301392,0.0
449,GPR158-AS1,0.9998489618301392,0.0
450,TRAM2-AS1,0.9998489618301392,0.0
451,AC099343.3,0.9998489618301392,0.0
452,LINC02551,0.9998489618301392,0.0
453,LINC01097,0.9998489618301392,0.0
454,AL391121.1,0.9998488426208496,0.0
455,BRWD1-AS2,0.9998488426208496,0.0
456,DAB1-AS1,0.9998487234115601,0.0
457,LINC01449,0.9998487234115601,0.0
458,MIR7-3HG,0.9998486042022705,1.0
459,NALCN-AS1,0.9998486042022705,0.0
460,LINC01091,0.9998486042022705,0.0
461,LINC01415,0.999848484992981,0.0
462,HYMAI,0.999848484992981,0.0
463,AP000439.1,0.999848484992981,0.0
464,LUNAR1,0.9998483657836914,0.0
465,LINC00837,0.9998482465744019,0.0
466,TTN-AS1,0.9998482465744019,1.0
467,LINC01162,0.9998481273651123,0.0
468,MDC1-AS1,0.9998481273651123,0.0
469,AC073636.1,0.9998481273651123,0.0
470,LINC01560,0.9998480081558228,0.0
471,AC044798.2,0.9998480081558228,0.0
472,LINC01566,0.9998480081558228,0.0
473,NKILA,0.9998476505279541,1.0
474,AC091180.5,0.9998475313186646,0.0
475,LINC00642,0.999847412109375,0.0
476,AC123595.1,0.999847412109375,0.0
477,TLR8-AS1,0.9998472929000854,0.0
478,LINC01189,0.9998472929000854,0.0
479,HCG9,0.9998471736907959,0.0
480,LINC01016,0.9998471736907959,0.0
481,BVES-AS1,0.9998471736907959,0.0
482,LINC01297,0.9998470544815063,0.0
483,AC126121.2,0.9998470544815063,0.0
484,GTF3C2-AS1,0.9998470544815063,0.0
485,MCPH1-AS1,0.9998469352722168,0.0
486,POC1B-AS1,0.9998469352722168,0.0
487,AC007179.1,0.9998468160629272,0.0
488,AC093583.1,0.9998468160629272,0.0
489,AP000442.1,0.9998468160629272,0.0
490,LINC02099,0.9998466968536377,0.0
491,WEE2-AS1,0.9998466968536377,1.0
492,TTLL7-IT1,0.9998465776443481,0.0
493,LINC00326,0.9998465776443481,0.0
494,AC025580.2,0.9998464584350586,0.0
495,AC138028.4,0.9998464584350586,0.0
496,CPEB1-AS1,0.9998464584350586,0.0
497,AC108673.2,0.9998464584350586,0.0
498,AC004803.1,0.999846339225769,0.0
499,AC010478.1,0.999846339225769,0.0
500,LINC00905,0.9998461008071899,0.0
501,LIX1-AS1,0.9998461008071899,0.0
502,AP003352.1,0.9998459815979004,0.0
503,LINC01393,0.9998459815979004,0.0
504,TTTY21,0.9998459815979004,0.0
505,LINC00939,0.9998459815979004,0.0
506,TTTY23,0.9998459815979004,0.0
507,LINC00314,0.9998458623886108,0.0
508,LINC01684,0.9998458623886108,0.0
509,FLJ13224,0.9998458623886108,0.0
510,CACNA1C-IT3,0.9998457431793213,0.0
511,LINC01191,0.9998457431793213,0.0
512,AC069281.2,0.9998457431793213,0.0
513,LINC01391,0.9998456239700317,1.0
514,LINC00208,0.9998456239700317,0.0
515,AC093802.1,0.9998455047607422,0.0
516,CU638689.4,0.9998455047607422,1.0
517,LINC01531,0.9998453855514526,0.0
518,USP2-AS1,0.9998452663421631,0.0
519,PART1,0.9998452663421631,1.0
520,DLGAP2-AS1,0.999845027923584,0.0
521,AC097381.1,0.9998449087142944,0.0
522,AL049543.1,0.9998449087142944,0.0
523,AC005034.3,0.9998449087142944,0.0
524,AC007405.4,0.9998449087142944,0.0
525,LARGE-AS1,0.9998449087142944,0.0
526,UPK1A-AS1,0.9998449087142944,1.0
527,STARD4-AS1,0.9998447895050049,0.0
528,CDKN2B-AS1,0.9998447895050049,1.0
529,AC092145.1,0.9998447895050049,0.0
530,AL160006.1,0.9998447895050049,0.0
531,LINC00485,0.9998446702957153,1.0
532,AC007743.1,0.9998446702957153,0.0
533,LINC00534,0.9998446702957153,0.0
534,LINC01485,0.9998445510864258,0.0
535,RBPMS-AS1,0.9998444318771362,0.0
536,LINC02465,0.9998443126678467,0.0
537,AC009148.1,0.9998443126678467,0.0
538,MDS2,0.9998441934585571,0.0
539,AC010729.1,0.9998440742492676,0.0
540,EXOC3-AS1,0.999843955039978,0.0
541,B4GALT1-AS1,0.999843955039978,0.0
542,AC011503.1,0.999843955039978,0.0
543,LEF1-AS1,0.9998438358306885,1.0
544,LINC02023,0.9998438358306885,0.0
545,LINC00526,0.9998438358306885,0.0
546,FLJ31104,0.9998437166213989,0.0
547,FER1L6-AS2,0.9998437166213989,0.0
548,AIRN,0.9998435974121094,1.0
549,LINC01443,0.9998434782028198,0.0
550,AP003071.4,0.9998432397842407,0.0
551,AL603840.1,0.9998432397842407,0.0
552,PRKX-AS1,0.9998432397842407,0.0
553,AC087235.1,0.9998431205749512,0.0
554,AC069280.1,0.9998431205749512,0.0
555,LINC01242,0.9998431205749512,0.0
556,LINC00957,0.9998431205749512,0.0
557,AC000403.1,0.9998431205749512,0.0
558,LMF1-AS1,0.9998430013656616,0.0
559,DDN-AS1,0.9998427629470825,0.0
560,AP000766.1,0.9998427629470825,0.0
561,LINC01482,0.999842643737793,0.0
562,F11-AS1,0.999842643737793,1.0
563,AC113615.1,0.999842643737793,0.0
564,LINC00528,0.999842643737793,0.0
565,LINC02249,0.9998425245285034,0.0
566,AC144831.1,0.9998425245285034,0.0
567,AC008551.1,0.9998424053192139,0.0
568,TOB1-AS1,0.9998422861099243,0.0
569,SND1-IT1,0.9998421669006348,0.0
570,AL078459.1,0.9998421669006348,0.0
571,AC109811.1,0.9998421669006348,0.0
572,UCA1,0.9998421669006348,1.0
573,LINC01267,0.9998420476913452,0.0
574,RAMP2-AS1,0.9998420476913452,0.0
575,AP001207.3,0.9998419284820557,0.0
576,ST7-AS1,0.9998419284820557,0.0
577,LIPE-AS1,0.9998418092727661,0.0
578,LINC01561,0.9998418092727661,0.0
579,USP30-AS1,0.9998418092727661,0.0
580,AL356488.2,0.9998418092727661,0.0
581,AL359220.1,0.9998418092727661,0.0
582,LINC01167,0.9998416900634766,0.0
583,PARAL1,0.9998416900634766,0.0
584,LY86-AS1,0.999841570854187,0.0
585,FAM215A,0.999841570854187,1.0
586,AC064834.1,0.9998414516448975,0.0
587,CCND2-AS1,0.9998414516448975,0.0
588,BGLT3,0.9998414516448975,0.0
589,AC007541.1,0.9998414516448975,0.0
590,DPH6-DT,0.9998413324356079,0.0
591,ARLNC1,0.9998413324356079,0.0
592,LINC00681,0.9998412132263184,0.0
593,ZNF433-AS1,0.9998412132263184,0.0
594,DSCR4,0.9998410940170288,0.0
595,AC013457.1,0.9998410940170288,0.0
596,AC099811.1,0.9998410940170288,0.0
597,AP001063.1,0.9998410940170288,0.0
598,KRT73-AS1,0.9998410940170288,0.0
599,GK-IT1,0.9998410940170288,0.0
600,AC107375.1,0.9998409748077393,0.0
601,ADD3-AS1,0.9998409748077393,0.0
602,AC022898.2,0.9998408555984497,0.0
603,HOXC-AS3,0.9998408555984497,0.0
604,LINC01140,0.9998408555984497,0.0
605,NAGPA-AS1,0.9998408555984497,0.0
606,LINC01483,0.9998408555984497,0.0
607,SCOC-AS1,0.9998407363891602,0.0
608,LINC00525,0.9998406171798706,0.0
609,LINC00895,0.999840497970581,0.0
610,LINC00174,0.999840497970581,1.0
611,AC079915.1,0.999840497970581,0.0
612,LINC00315,0.999840497970581,0.0
613,PGM5P4-AS1,0.999840497970581,0.0
614,LINC02493,0.9998403787612915,0.0
615,LNCAROD,0.9998403787612915,1.0
616,KCNMA1-AS1,0.999840259552002,0.0
617,ARRDC3-AS1,0.9998401403427124,0.0
618,SH3TC2-DT,0.9998400211334229,0.0
619,LINC01095,0.9998400211334229,0.0
620,FLNB-AS1,0.9998399019241333,0.0
621,LINC01933,0.9998399019241333,0.0
622,LINC02076,0.9998397827148438,0.0
